"","Company","Address","Lat","Long"
"300","BioX Consulting","Danmarksvej 31 B, 2800 Kongens Lyngby",9.390757,56.453418
"301","Green Biolab ApS","A.P. Møllers Allé 9 C, 2791 Dragør",12.6615906,55.6015334
"302","GigaVax ApS","Kong Valdemars Vej 16, 2840 Holte",12.511224,55.815927
"303","Carlos Casado Vazquez","Sæbjørnsvej 2 A, 2880 Bagsværd",12.4628749,55.7572235
"304","CBV Consult","Blåbærhaven 20, 8520 Lystrup",10.247878,56.24428
"305","SJM IP ApS","Forhåbningsholms Alle 19 1 th, 1904 Frederiksberg C",12.550221,55.676239
"306","IFO ApS","Agertoften 20, 2820 Gentofte",12.51143,55.746044
"307","Serpentides ApS","Rosenørns Alle 1 2, 1970 Frederiksberg C",12.557095,55.681668
"308","Iprotein Biotech","Jyllandsvej 20, 4200 Slagelse",11.342978,55.395994
"309","Stroebech Media ApS","Sommervænget 2, 3390 Hundested",11.869651,55.946903
"310","IASO ApS","Lersø Parkallé 42 4, 2100 København Ø",12.556947,55.707777
"311","KLMBio ApS","Virumvej 144, 2830 Virum",12.455083,55.788862
"312","Synobody","Haraldsgade 104 1 th, 2100 København Ø",12.560065,55.709534
"313","Virtual Pastures ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"314","Epitopia ApS","Lersø Parkallé 42 4, 2100 København Ø",12.556947,55.707777
"315","Bak Sekventering","Kantorparken 29, 8240 Risskov",10.209412,56.1979201
"316","Sophia Genetics SA","Krænhavs Sti 3, 7700 Thisted",8.482141,57.04191
"317","A. Lai Consulting","Akelejehaven 22, 5500 Middelfart",9.761395,55.508824
"318","AÏDA ONCOLOGY Aps","Turesensgade 3 5, 1368 København K",12.564068,55.681154
"319","LOA Tech","Vejenbrødvej 53 A, 2980 Kokkedal",12.451806,55.9234875
"320","e314genetics","H.C. Andersens Vej 17, 8230 Åbyhøj",10.15816,56.152868
"321","Meat Tomorrow ApS","Nørre Allé 6 1 10, 2200 København N",12.561454,55.692936
"322","Gjervig Consulting DMPK","Sofiegade 10 2 mf, 1418 København K",12.590264,55.67118
"323","Algiecel ApS","Oslo Plads 2, 2100 København Ø",12.588239,55.692071
"324","Ikkala","Margretheholmsvej 38 3 th, 1432 København K",12.615102,55.684582
"325","Epoqe Pharma ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"326","Cystotech ApS","Peter Sabroes Gade 7, 8000 Aarhus C",10.210897,56.16674
"327","PJL Life Sciences ApS","Sølystvej 5, 2930 Klampenborg",12.588799,55.768908
"328","AutoFlow","Hartmannsvej 37 B, 2900 Hellerup",12.5658848,55.7417723
"329","Neo Biopharm ApS","Kildegårdsvej 18 D, 2900 Hellerup",12.5577724,55.7351517
"330","AngloDansk Medical ApS","Alexandriagade 1, 2150 Nordhavn",12.593572,55.712626
"331","Tornøes og Høyrups Fond","Langegade 3 A 1, 5300 Kerteminde",10.6577907,55.4494452
"332","SEGES Innovation Fonden","Agro Food Park 15, 8200 Aarhus N",10.159083,56.200064
"333","MKR Finans APS","Langelinieparken 14 3 tv, 8000 Aarhus C",10.218824,56.165817
"334","BioSpringbok ApS","Finsensvej 15 3 320, 2000 Frederiksberg",12.51862,55.681188
"335","SEGES Innovation P/S","Agro Food Park 15, 8200 Aarhus N",10.159083,56.200064
"336","BioPhenyx ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"337","Breakthrough Biotech Drift Aps","Vestervang 29 2 mf, 8000 Aarhus C",11.317823,55.973598
"338","Warburg Oncology ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"339","EntomoWell","Skjulhøj Allé 22 E, 2720 Vanløse",12.4822198,55.6946249
"340","Duvold Consulting ApS","Drogdensvej 20, 2791 Dragør",12.670674,55.59086
"341","Ouisa Pharma ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"342","SvenBen BioTec","Emil Reesens Vej 9, 2820 Gentofte",12.547867,55.749607
"343","KRÆFTENS BEKÆMPELSE","Strandboulevarden 49, 2100 København Ø",12.586216,55.702539
"344","Carlsberg A/S","J.C. Jacobsens Gade 1, 1799 København V",NA,NA
"345","BreedEx /Morten Helt Poulsen","Assendløsevejen 48, 4130 Viby Sjælland",12.000421,55.564254
"346","FERRING PHARMACEUTICALS A/S","Amager Strandvej 405, 2770 Kastrup",12.6479787,55.6395213
"347","LANDBRUG &amp; FØDEVARER F.M.B.A.","Axeltorv 3, 1609 København V",12.564111,55.675659
"348","ROCHE INNOVATION CENTER COPENHAGEN A/S","Fremtidsvej 3, 2970 Hørsholm",12.487103,55.868876
"349","ZEALAND PHARMA A/S","Sydmarken 11, 2860 Søborg",12.483439,55.734253
"350","NORDIC BIOSCIENCE A/S","Herlev Hovedgade 205, 2730 Herlev",12.418955,55.725285
"351","PENTABASE A/S","Petersmindevej 1 A, 5000 Odense C",9.519281,55.722249
"352","ORIGIO A/S","Knardrupvej 2, 2760 Måløv",12.290144,55.755165
"353","AZANTA DANMARK A/S","Kirsten Walthers Vej 8 A 2, 2500 Valby",12.5130492,55.6587585
"354","GUBRA ApS","Hørsholm Kongevej 11 B, 2970 Hørsholm",12.4945676,55.8779406
"355","BIONEER A/S","Kogle Alle 2, 2970 Hørsholm",12.49639,55.869304
"356","VITROLIFE A/S","Jens Juuls Vej 20, 8260 Viby J",10.129252,56.112634
"357","GLYCOM A/S","Kogle Alle 4, 2970 Hørsholm",12.495566,55.870343
"358","Y-mAbs Therapeutics A/S","Agern Alle 11, 2970 Hørsholm",12.49382,55.871012
"359","SOPHION BIOSCIENCE A/S","Baltorpvej 154, 2750 Ballerup",12.345387,55.729492
"360","NBCD A/S","Herlev Hovedgade 82, 2730 Herlev",12.445685,55.721845
"361","Eurofins Genomics Europe Genotyping A/S","Smedeskovvej 38, 8464 Galten",9.915306,56.15924
"362","QIAGEN AARHUS A/S","Silkeborgvej 2, 8000 Aarhus C",10.192746,56.157485
"363","PHARMACEUTICAL RESEARCH ASSOCIATES DENMARK ApS","Havneholmen 29, 1561 København V",12.56439,55.661851
"364","Savara ApS","Tuborg Boulevard 12 4, 2900 Hellerup",12.5765281,55.7267905
"365","MINERVA IMAGING ApS","Lyshøjvej 21, 3650 Ølstykke",12.141596,55.768135
"366","INBICON A/S","Kraftværksvej 53, 7000 Fredericia",9.623871,55.515935
"367","IMMUDEX ApS","Bredevej 2 A, 2830 Virum",12.4885501,55.7925546
"368","Syneos Health Denmark ApS","Knud Højgaards Vej 9, 2860 Søborg",12.473623,55.732511
"369","Evosep ApS","Buchwaldsgade 35 3, 5000 Odense C",10.389119,55.406401
"370","PROXEON BIOSYSTEMS ApS","Kamstrupvej 90, 4000 Roskilde",12.079797,55.609156
"371","VIPERGEN ApS","Gammel Kongevej 23 A 1, 1610 København V",12.556046,55.673666
"372","HOUSETEST ApS","Petersmindevej 1 A, 5000 Odense C",9.519281,55.722249
"373","Next Stage Ventures ApS","Gl Strandvej 250, 3050 Humlebæk",12.530381,55.948989
"374","TOFT PLANTEFORÆDLING ApS","Smedevej 1, 7870 Roslev",8.927115,56.713622
"375","BioScavenge ApS","Algade 2 D, 4281 Gørlev",11.225405,55.5401685
"376","AbtBioConsult ApS","Lille Sverige Vej 7 A, 3400 Hillerød",12.3357317,55.9033363
"377","River Stone Biotech ApS","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"378","Ranger Biotechnologies A/S","C.F. Tietgens Boulevard 30 A st th, 5220 Odense SØ",NA,NA
"379","immunAware ApS","Agern Alle 1, 2970 Hørsholm",12.492919,55.872775
"380","LIVAG ApS","Udsigten 9, 2950 Vedbæk",12.549983,55.859015
"381","CMCassist ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"382","DHM HOLDING A/S","Langelinie Allé 29 3 tv, 2100 København Ø",12.59988,55.698936
"383","2A Pharma ApS","Niels Jernes Vej 10, 9220 Aalborg Øst",9.988313,57.012738
"384","DESRES SUB DENMARK ApS","Købmagergade 60 1 tv, 1150 København K",12.574913,55.681785
"385","Bainan Biotech ApS","Ole Maaløes Vej 3 3, 2200 København N",12.556294,55.69883
"386","BIOMODICS ApS","Stengårds Alle 31 A, 2800 Kgs.Lyngby",12.485115,55.765287
"387","Biotest Facility ApS","Røvedvej 1, 8380 Trige",10.146859,56.305427
"388","BK Clinical Trials Consulting K/S","Hegnsvej 44, 2850 Nærum",12.543507,55.813844
"389","kim Andersen ApS","Livjægergade 21 4 th, 2100 København Ø",12.587268,55.697484
"390","pond A/S","Balticagade 24, 8000 Aarhus C",10.22157,56.156422
"391","Pipeline Bioresearch ApS","Marselisborg Havnevej 36, 8000 Aarhus C",10.215827,56.138643
"392","Solsten Diagnostics International ApS","Langdyssen 5, 8200 Aarhus N",10.141801,56.218564
"393","AndStats ApS","Aurikelvej 20, 2000 Frederiksberg",12.515391,55.669123
"394","DNASENSE ApS","Niels Jernes Vej 10, 9220 Aalborg Øst",9.988313,57.012738
"395","Hyamedix ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"396","CLIRECON ApS","Øster Allé 56, 2100 København Ø",12.570561,55.702771
"397","Anapa Biotech A/S","Venlighedsvej 6, 2970 Hørsholm",12.49426,55.873689
"398","Immumap Services ApS","Agern Alle 3, 2970 Hørsholm",12.493014,55.872412
"399","Defos ApS","Sct Jørgensvej 4, 3550 Slangerup",NA,NA
"400","SN BIOTECH HOLDING ApS","Sandgravvej 6 st tv, 8000 Aarhus C",10.217368,56.1658
"401","SiteD2 ApS","Hareskovhvilevej 3, 3500 Værløse",12.373857,55.782834
"402","BEE-PATCH ApS","Nørregårdsvej 14, 4320 Lejre",11.963596,55.598444
"403","Bifrost Biolabs ApS","Smedeland 7 1, 2600 Glostrup",12.389754,55.680086
"404","ZP GENERAL PARTNER 1 ApS","Sydmarken 11, 2860 Søborg",12.483439,55.734253
"405","PrOxi Biotech ApS","Egeskellet 6, 2000 Frederiksberg",12.49634,55.671632
"406","2N Pharma ApS","Niels Jernes Vej 10, 9220 Aalborg Øst",9.988313,57.012738
"407","LICA PHARMACEUTICALS A/S","Tuborg Havnepark 2 1 tv, 2900 Hellerup",12.581823,55.724787
"408","Vigilare Biotech ApS","Lergyden 48, 5492 Vissenbjerg",10.125613,55.379185
"409","Pure Algae Denmark ApS","Havnecentervej 1, 8500 Grenaa",10.924066,56.4106
"410","KEM-EN-TEC DEVELOPMENT &amp; LICENSING A/S","Kuldyssen 10, 2630 Taastrup",12.287994,55.648188
"411","Epivizor ApS","Langdalsparken 19, 8600 Silkeborg",9.625146,56.140073
"412","Cell2Cure ApS","Kajerødgård 9, 3460 Birkerød",12.422623,55.846381
"413","KJ Bio A/S","Skanderborgvej 193, 8382 Hinnerup",10.028316,56.248141
"414","Methyl Detect ApS","Niels Jernes Vej 10, 9220 Aalborg Øst",9.988313,57.012738
"415","SMB INNOVATION ApS","Rørholm 12, 4000 Roskilde",12.111193,55.658752
"416","V-BIOTEK HOLDING ApS","Vimmelskaftet 43, 1161 København K",12.57518,55.678569
"417","STIG GÜNTHER ApS","Bakkekammen 72, 3600 Frederikssund",12.075109,55.865479
"418","BOJESEN AND PETERSEN BIOTECH ApS","Strandboulevarden 23 st th, 2100 København Ø",12.589708,55.699814
"419","CPH Proteomics ApS","Brovænget 29, 2700 Brønshøj",12.45801,55.706154
"420","Microbial Data Analyses ApS","Skt. Lucas Kirkeplads 8 st th, 8000 Aarhus C",NA,NA
"421","COBO Scientific ApS","Bækholmen 25, 2760 Måløv",12.318614,55.744857
"422","ClearDynamic ApS","Spiesgade 3, 9400 Nørresundby",9.914573,57.061143
"423","OLE USSING ApS","Gregers Nørgårds Vej 9, 9000 Aalborg",9.872764,57.029889
"424","ZP GENERAL PARTNER 2 ApS","Sydmarken 11, 2860 Søborg",12.483439,55.734253
"425","MCT Bioseparation Aps","Hollandsvej 5 H st, 2800 Kongens Lyngby",11.325022,55.391738
"426","SNIPR Biome ApS","Lersø Parkallé 44 5, 2100 København Ø",12.556916,55.707854
"427","Afyx Therapeutics A/S","Lergravsvej 57 2 tv, 2300 København S",12.625818,55.664313
"428","The Quality Living ApS","Hjorthøj 29, 2800 Kongens Lyngby",12.537004,55.796578
"429","MINERVAX ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"430","Renescience A/S","Kraftværksvej 53, 7000 Fredericia",9.623871,55.515935
"431","MonTa Biosciences ApS","Diplomvej 377 1, 2800 Kongens Lyngby",12.5129786,55.7824598
"432","UNIBIO A/S","Langebjerg 1, 4000 Roskilde",12.145912,55.646568
"433","BIOPORTO DIAGNOSTICS A/S","Tuborg Havnevej 15 st, 2900 Hellerup",12.582695,55.726812
"434","ZP SPV 3 K/S","Sydmarken 11, 2860 Søborg",12.483439,55.734253
"435","Initiator Pharma A/S","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"436","BLUSENSE DIAGNOSTICS APS","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"437","Vipergen R &amp; D IV K/S","Gammel Kongevej 23 A 1, 1610 København V",12.556046,55.673666
"438","Muna Therapeutics ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"439","EXPRES2ION BIOTECHNOLOGIES ApS","Agern Alle 1, 2970 Hørsholm",12.492919,55.872775
"440","INSUSENSE ApS","Scherfigsvej 7, 2100 København Ø",12.57991,55.721895
"441","CytoKi Pharma ApS","Tuborg Boulevard 12 3, 2900 Hellerup",12.5765281,55.7267905
"442","STENOCARE A/S","Nyholmsvej 4, 8930 Randers NØ",10.082751,56.473111
"443","Biograil ApS","Slettehavevej 77, 4690 Haslev",11.996031,55.278268
"444","ADCendo ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"445","HyperBio Therapeutics ApS","Stærmosevej 12, 7120 Vejle Øst",9.59713,55.716288
"446","Ovodan Biotech A/S","Havnegade 36, 5000 Odense C",10.380924,55.414121
"447","Kariya Pharmaceuticals ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"448","Cephagenix ApS","Smedeland 26 B, 2600 Glostrup",12.3908,55.681205
"449","COBO Technologies Aps","Kong Georgs Vej 12 A 2, 2000 Frederiksberg",12.5324821,55.6886708
"450","UNIKUM Therapeutics ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"451","Celvivo ApS","Middelfartvej 469, 5491 Blommenslyst",10.267176,55.391523
"452","QUR Medical ApS","Ørsted Bygade 5, 4622 Havdrup",12.07901,55.54401
"453","MING YANG WIND POWER EUROPEAN R&amp;D CENTER ApS","Frederiksborgvej 399, 4000 Roskilde",12.103063,55.692568
"454","W2GE ApS","Baldershøj 24 C st th, 2635 Ishøj",11.44414,55.830349
"455","Betamab ApS","Hørsholmvej 11, 3050 Humlebæk",12.492931,55.959145
"456","Chromologics ApS","Maskinvej 5, 2860 Søborg",12.479666,55.741476
"457","Stillo Holding ApS","Absalonsgade 19 2 th, 1658 København V",12.554857,55.67063
"458","Twelve Bio ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"459","Biovice Systems ApS","Butikstorvet 4, 9560 Hadsund",10.114045,56.71818
"460","GlycoSpot ApS","Østmarken 9, 2860 Søborg",12.46961,55.735362
"461","GeneTelligence ApS","Agern Alle 24, 2970 Hørsholm",12.491707,55.869272
"462","GlycoDisplay ApS","Blegdamsvej 3, 2200 København N",12.27712,54.97781
"463","Biostrip ApS","Lindevangsvej 10, 8240 Risskov",10.241465,56.18845
"464","IBUS INNOVATION A/S","Odinshøjvej 116, 3140 Ålsgårde",12.522118,56.083406
"465","ZP General Partner 3 ApS","Sydmarken 11, 2860 Søborg",12.483439,55.734253
"466","ENKAM PHARMACEUTICALS ApS","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"467","Ceremedy ApS","Vangehusvej 17 kl, 2100 København Ø",12.573222,55.719922
"468","VENDLER ApS","Carolinevej 21, 2900 Hellerup",12.579926,55.729391
"469","Valinor Aps","Købmagergade 53 2, 1150 København K",12.574973,55.681441
"470","Tissue-Link ApS","Harhoffs Alle 38, 4100 Ringsted",11.789237,55.439212
"471","C5 TECHNOLOGIES ApS","Brydehusvej 28, 2750 Ballerup",12.374799,55.727983
"472","Detalo Instruments Aps","Skovrødvej 3 A, 3460 Birkerød",12.4515729,55.8355267
"473","Affycon ApS","Espedalen 89, 8240 Risskov",10.221911,56.202289
"474","Migalis ApS","Gøngehusvej 106, 2950 Vedbæk",12.532572,55.846725
"475","NOA SIC ApS","Sundgade 54, 6320 Egernsund",9.607542,54.9045
"476","BIO-MEDICAL CONSULT HOLDING ApS","M.A. Schultz Vej 7, 9000 Aalborg",9.899963,57.043891
"477","Kriska BioTech ApS","Glerupvej 160, 9631 Gedsted",9.383399,56.694544
"478","BIOROOTS ApS","Daleåsen 8, 3250 Gilleleje",12.366162,56.102171
"479","Argo Biotech ApS","Klampenborgvej 248 1 mf, 2800 Kongens Lyngby",12.504395,55.770714
"480","LOXiGen ApS","Nordlyvej 8, 2930 Klampenborg",12.594836,55.788716
"481","ENDOGEN ApS","Lerbækvej 9, 8240 Risskov",10.233428,56.189119
"482","COMO HOLDING ApS","Åbogade 15, 8200 Aarhus N",10.187798,56.172331
"483","ZOCCA CONSULTING ApS","Bornholmsgade 6 1 tv, 1266 København K",12.591147,55.687958
"484","Endeavour Cells ApS","Strevelinsvej 34, 7000 Fredericia",9.726938,55.527615
"485","BOOST Pharma ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"486","SNIPR Holdings ApS","Lersø Parkallé 44 5, 2100 København Ø",12.556916,55.707854
"487","CUMULUS BIO ApS","Sydholmen 8, 2650 Hvidovre",12.470553,55.607709
"488","NOZ ApS","Yderholmvej 80, 4623 Lille Skensved",12.145508,55.515411
"489","PNN MEMOCORE ApS","Oldenvej 13, 3490 Kvistgård",12.5004354,55.9928989
"490","Redl Holding ApS","Ole Maaløes Vej 3 3, 2200 København N",12.556294,55.69883
"491","Unibio USA ApS","Langebjerg 1, 4000 Roskilde",12.145912,55.646568
"492","VIRU ApS","Ørsted Bygade 5, 4622 Havdrup",12.07901,55.54401
"493","PN INVESTMENT ApS","Rigensgade 11 A 2, 1316 København K",12.583225,55.688257
"494","Simon Glerup Holding ApS","Lerbækvej 9, 8240 Risskov",10.233428,56.189119
"495","Joachim Vilstrup Holding ApS","Fynsgade 3, 8000 Aarhus C",10.202873,56.164571
"496","Bee-Patch USA ApS","Nørregårdsvej 14, 4320 Lejre",11.963596,55.598444
"497","BIOLIGANDS ApS","Skovalléen 4, 5250 Odense SV",10.373885,55.367897
"498","FEY HOLDING ApS","Middelfartvej 469, 5491 Blommenslyst",10.267176,55.391523
"499","ASTIM Holding ApS","Floradalen 29, 2830 Virum",12.457512,55.79564
"500","T.Ø. Holding ApS","Toftevej 12, 3060 Espergærde",12.556416,55.992803
"501","Devopharma ApS","Strandvejen 301 2, 2920 Charlottenlund",12.5884981,55.7491473
"502","Safe Implant Technology ApS","Strandvejen 301 2, 2920 Charlottenlund",12.5884981,55.7491473
"503","CABA APS","Strandvejen 301 2, 2920 Charlottenlund",12.5884981,55.7491473
"504","Enduro Genetics ApS","Ole Maaløes Vej 3 3, 2200 København N",12.556294,55.69883
"505","PULMOPHARMA ApS","Bøgebjerg 2 2 4, 8400 Ebeltoft",10.6713983,56.183313
"506","SDC SENSOR ApS","Espedalen 89, 8240 Risskov",10.221911,56.202289
"507","ASRØ Holding ApS","Haugesundvej 10, 2850 Nærum",12.525991,55.813125
"508","PTL Health ApS","Hareskovhvilevej 3, 3500 Værløse",12.373857,55.782834
"509","Origio A/S","Knardrupvej 2, 2760 Måløv",12.290144,55.755165
"510","Ferring Pharmaceuticals A/S","Kay Fiskers Plads 11, 2300 København S",12.58016,55.629081
"511","Landbrug &amp; Fødevarer F.m.b.a","Axeltorv 3, 1609 København V",12.564111,55.675659
"512","Kræftens Bekæmpelse","Strandboulevarden 49, 2100 København Ø",12.586216,55.702539
"513","Symphogen A/S","Pederstrupvej 93, 2750 Ballerup",12.33159,55.730186
"514","Enkam Pharmaceuticals ApS  Under Konkurs","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"515","Evolva Biotech A/S  I Likvidation","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"516","Nuevolution A/S","Rønnegade 8, 5., 2100 København Ø",12.557341,55.707567
"517","Carlsberg Forskningscenter","J.C. Jacobsens Gade 4, 1799 København V",NA,NA
"518","Unibio A/S","Langebjerg 1, 4000 Roskilde",12.145912,55.646568
"519","Sanos A/S","Herlev Hovedgade 82, 2730 Herlev",12.445685,55.721845
"520","Quantibact A/S","Venlighedsvej 6, 2970 Hørsholm",12.49426,55.873689
"521","Grundfos Biobooster A/S - Ø2","Poul Due Jensens Vej 19, 8850 Bjerringbro",9.678917,56.385595
"522","Bioplus ApS  Under Konkurs","Kajakvej 2, 2770 Kastrup",12.653931,55.637335
"523","Stemform A/S","Gyngemose Parkvej 74, 2860 Søborg",12.476753,55.728405
"524","Perfect Stevia ApS  Under Konkurs","Agro Food Park 13, 8200 Aarhus N",10.158244,56.201091
"525","Idun Genomics IVS  Under Tvangsopløsning","Rosmosevej 8, 3450 Allerød",12.378561,55.872853
"526","Civi Biopharma A/S","Sundkrogsgade 21, 2100 København Ø",12.592722,55.713556
"527","Ljos IVS  Under Tvangsopløsning","Skovvangsvej 17, 3670 Veksø Sjælland",12.239184,55.767872
"528","Unibio A/S","Asnæsvej 2A, 4400 Kalundborg",11.114985,55.667519
"529","Draupnir Bio ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"530","Civi Biopharma A/S","Agern Alle 24, 2970 Hørsholm",12.491707,55.869272
"531","Snipr Biome ApS","Rønnegade 2, 5., 2100 København Ø",12.55746,55.708087
"532","Consibio ApS","Sindalsvej 37, st., 8240 Risskov",10.217247,56.208203
"533","Biobrandaware","Rungsted Strandvej 173, 2960 Rungsted Kyst",12.538871,55.891403
"534","Immunaware ApS","Agern Alle 1, 2970 Hørsholm",12.492919,55.872775
"535","Biomodics ApS","Fjeldhammervej 15, 2610 Rødovre",12.440419,55.674776
"536","Methyl Detect, Aarhus","Bartholins Allé 6A, 8000 Aarhus C",10.205808,56.168285
"537","Qiagen Aarhus A/S","Skelstedet 16, 2950 Vedbæk",12.531596,55.8386
"538","Biogenity ApS","Niels Jernes Vej 10, 9220 Aalborg Øst",9.988313,57.012738
"539","Omicsdriven IVS  Under Tvangsopløsning","Østergade 76, 4340 Tølløse",11.773347,55.608777
"540","Stipe Therapeutics ApS","Inge Lehmanns Gade 10, 8000 Aarhus C",10.215199,56.159024
"541","The Froglet IVS  Under Konkurs","Himmerlandsgade 10, 3. tv., 9000 Aalborg",9.940849,57.041541
"542","Pure Algae Denmark ApS","Havnecentervej 1, 8500 Grenaa",10.924066,56.4106
"543","Oncostress Therapeutics IVS  Under Tvangsopløsning","Messinavej 11, 1., 2300 København S",12.621583,55.659988
"544","Qlife ApS","Borupvang 3, 2750 Ballerup",12.383222,55.73255
"545","Riid IVS  Under Tvangsopløsning","Bøssemagergade 15, st. th., 3150 Hellebæk",12.556197,56.069714
"546","Pentabase Esbjerg","Auktionsgade 5, 6700 Esbjerg",8.427496,55.472284
"547","Pentabase Aarhus","True Møllevej 6, 8381 Tilst",10.088729,56.184628
"548","Pentabase Herlev","Herlev Hovedgade 15E, 2730 Herlev",12.452914,55.716773
"549","Pentabase Aalborg","Lille Borgergade 19, st. th., 9400 Nørresundby",9.925317,57.057106
"550","Pentabase A/S","Petersmindevej 1A, 5000 Odense C",10.418345,55.402054
"551","Eurofins Genomics Europe Genotyping A/S","Brendstrupgårdsvej 23, 8200 Aarhus N",10.180362,56.188438
"552","Eurofins Genomics Europe Genotyping A/S","Terminalgade 1, 2770 Kastrup",12.643812,55.629808
"553","Eurofins Safer At Work","Ladelundvej 85, 6600 Vejen",9.050304,55.480969
"554","Draupnir Bio ApS","Palle Juul-Jensens Boulevard 82, 8200 Aarhus N",NA,NA
"555","Forskningsenhed I Århus, Århus Universitet","Høegh-Guldbergs Gade 10, 8000 Aarhus C",NA,NA
"556","Ferring Pharmaceuticals A/S","Amager Strandvej 405, 2770 Kastrup",12.6479787,55.6395213
"557","Celvivo ApS - Odder","Vitavej 71, 8300 Odder",10.153526,55.970061
"558","Muna Therapeutics ApS","Høegh-Guldbergs Gade 10, 8000 Aarhus C",NA,NA
"559","B1","Bartholins Allé 1, 8000 Aarhus C",10.205125,56.166119
"560","Lab Barto","Bartholins Allé 2, 8000 Aarhus C",10.205767,56.166023
"561","Pentabase Billund Lufthavn","Passagerterminalen 10, 7190 Billund",9.147962,55.746471
"562","Pentabase Esbjerg Lufthavn","John Tranums Vej 20, 6705 Esbjerg Ø",8.549395,55.521629
"563","Pentabase Ålborg Lufthavn","Ny Lufthavnsvej 100, 9400 Nørresundby",9.8884063,57.0842681
"564","Pentabase Kastrup Lufthavn","Amager Landevej 171A, 2770 Kastrup",12.625249,55.625542
"565","Vitrolife A/S","Jens Juuls Vej 18, 8260 Viby J",10.130689,56.11293
"566","Nuevolution A/S","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"567","Hovedkontor","Færgevej 2B, 8500 Grenaa",10.928266,56.409386
"568","Seges Innovation P/S","Agro Food Park 15, 8200 Aarhus N",10.159083,56.200064
"569","Biophero","Nordensvej 2, 7000 Fredericia",9.642453,55.539569
"570","Sundew ApS","Maskinvej 5, 2860 Søborg",12.479666,55.741476
"571","MEDICAL MILITARY CONSULTING V.M.B.A","Damhus Boulevard 100, 2610 Rødovre",12.461161,55.666659
"572","Evidence Advisor","Ådalsparkvej 39 st th, 2970 Hørsholm",12.502824,55.899146
"573","Bendixen Medical Writing v/Hanne Bendixen","Øster Farimagsgade 12 1 th, 2100 København Ø",12.57528,55.690126
"574","ClinPharmaResearch","Klitrosevej 40, 6792 Rømø",8.555313,55.086011
"575","Helm Consult v/Helena Mejer","Norsvej 9, 1916 Frederiksberg C",12.556044,55.677567
"576","Lifescience Consulting v/Morten Heide","Gartnerhaven 12, 2800 Kgs.Lyngby",12.488998,55.784342
"577","AADALBIOTECH ApS","Harhoffs Alle 38, 4100 Ringsted",11.789237,55.439212
"578","EVAXION BIOTECH A/S","Dr Neergaards Vej 5 F, 2970 Hørsholm",NA,NA
"579","EL Medical Consulting v/ Ewa Malgorzata Lindenstrøm","Skolekrogen 40, 3500 Værløse",12.392007,55.781618
"580","Prepchrom v/Jørgen Malthe Mollerup","Christiansholmsvej 26, 2930 Klampenborg",12.58412,55.771753
"581","ORPHAZYME A/S","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"582","Caballus Biotech v/Charlotte Dyring","Valdemarsvej 10, 2960 Rungsted Kyst",12.521343,55.886746
"583","Dalides","Rørholm 12, 4000 Roskilde",12.111193,55.658752
"584","Foreningen for Stigbilledforskning","Landsbyvænget 2, 8464 Galten",9.971497,56.181095
"585","Speciallæge Jens Ravn Eriksen","Valhalvej 42, 4000 Roskilde",12.09175,55.65382
"586","Bredgaard Research v/Thomas Bredgaard","K.E. Færgemanns Vej 9, 9000 Aalborg",9.86757,57.023768
"587","Nordkild life science consulting v/Peter Nordkild","Rigensgade 11 A 2, 1316 København K",12.583225,55.688257
"588","Encephalon","Danmarksvej 52 B, 2800 Kongens Lyngby",9.391264,56.453462
"589","BioSim Consult v/Morten Colding-Jørgensen","Ranunkelvej 5, 2820 Gentofte",12.541041,55.73903
"590","Aktieselskabet af 1. juni 2011 II","Philip Heymans Alle 3, 2900 Hellerup",12.580224,55.724029
"591","ONCONOX ApS","Kastanievej 25, 2670 Greve",12.275282,55.569106
"592","UNION therapeutics A/S","Tuborg Havnevej 18, 2900 Hellerup",12.582479,55.72647
